,cell.name,PC1.pos,PC1.neg,PC1.score,PC2.pos,PC2.neg,PC2.score,PC3.pos,PC3.neg,PC3.score,PC4.pos,PC4.neg,PC4.score,PC5.pos,PC5.neg,PC5.score,PC6.pos,PC6.neg,PC6.score,PC7.pos,PC7.neg,PC7.score,PC8.pos,PC8.neg,PC8.score,PC9.pos,PC9.neg,PC9.score,PC10.pos,PC10.neg,PC10.score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
177,fv1_NS_p7c5r3_G13,0.393186063482588,0.2802290521596,0.112957011322988,0.523945587157742,0.196569872278645,0.327375714879097,0.318585582371392,0.356352003811983,-0.037766421440591,0.450469574010524,0.26478264594162,0.185686928068904,0.454640337325387,0.427129020363211,0.0275113169621762,0.387162832861883,0.266518653757753,0.12064417910413,0.271524692483163,0.441217266771182,-0.169692574288019,0.49231323626007,0.341278291392315,0.151034944867756,0.348715238995534,0.556527192040286,-0.207811953044752,0.209368472249452,0.632119877201807,-0.422751404952355,-2.13677420257879,8.83064363757281,5.55882199066619,5.69740622986881,-1.63574083271038,-0.0303675704229641,-3.31991971709644,-0.841851149647176,-3.64055018170431,-5.04649765864929
178,fv1_NS_p7c5r4_N13,0.641477681432947,0.270293819427092,0.371183862005855,0.590920970903307,0.395780557643435,0.195140413259873,0.404199221183115,0.361508923678154,0.0426902975049609,0.336255052671969,0.444839229299063,-0.108584176627094,0.543629668397939,0.54223312031524,0.00139654808269896,0.425925885567873,0.465167067651593,-0.0392411820837195,0.548495168809989,0.453363881498628,0.0951312873113603,0.452974029195153,0.472736746245373,-0.0197627170502205,0.446608504386622,0.56055792309035,-0.113949418703728,0.282183619691085,0.691868359986067,-0.409684740294982,15.0592839884551,-1.88787314279636,-2.00745578409441,-1.95373459337747,-2.3632535094055,2.45013117395416,0.811334296798721,1.3280216245917,-0.25750744902449,-1.79842099539485
179,fv1_NS_p7c5r5_J14,0.283969501944161,0.375815952650122,-0.0918464507059604,0.487634208984706,0.359769286079889,0.127864922904817,0.210087412402695,0.559950061538974,-0.349862649136279,0.377418856785575,0.356935083557944,0.0204837732276305,0.557197963817808,0.433979474219125,0.123218489598682,0.48133933715727,0.259776594417605,0.221562742739665,0.297667138883525,0.583742154254282,-0.286075015370757,0.495098119529737,0.516613564577073,-0.021515445047335,0.455771098406625,0.547245557262736,-0.0914744588561108,0.236986529114921,0.639667612420789,-0.402681083305868,-8.72537336239948,-2.57643496832214,-10.1442078137169,4.20262851843908,-0.464097883771329,1.52296222101922,-4.94164706340045,-2.16596958293796,-2.76415392597806,-0.982077847061071
180,fv1_NS_p7c5r8_F16,0.581322581832365,0.305108716523313,0.276213865309051,0.562231569725098,0.389639496272856,0.172592073452242,0.364225661613118,0.458195583088685,-0.0939699214755667,0.474213893734263,0.510392681741713,-0.0361787880074496,0.550723752871417,0.428199547495191,0.122524205376226,0.533825736173213,0.498301882186424,0.0355238539867892,0.467612166650896,0.48256186384002,-0.0149496971891242,0.529340550392266,0.409849275079497,0.119491275312769,0.490675762211728,0.523766651989094,-0.0330908897773667,0.243027233061435,0.635296528243994,-0.392269295182559,7.51198438859326,-1.56864723282149,-1.16445425162449,-0.384142708509393,1.21944710722737,0.505615029456574,0.594509695863051,-0.165948577519896,1.2739460813551,0.381823482342637
181,fv1_NS_p7c6r7_L15,0.475422640730634,0.431581207600849,0.0438414331297843,0.352512896983196,0.481239349050122,-0.128726452066925,0.42102488861946,0.435089939974591,-0.0140650513551318,0.484048092833796,0.31062609053682,0.173422002296977,0.50247875384252,0.301028666876757,0.201450086965763,0.385182496316956,0.575759801498402,-0.190577305181446,0.467371541208014,0.480737284654704,-0.0133657434466896,0.464592574849461,0.462926961208261,0.00166561364119971,0.428954597657384,0.554591441576236,-0.125636843918852,0.108435089594865,0.598559286622521,-0.490124197027656,3.20869391525793,-10.2405130971098,1.84169444479525,8.37135219427062,2.03338910694436,-2.86741024585145,-0.870362079305707,-2.69329739409227,-2.60953242283823,-2.8845937009912
182,fv1_NS_p7c7r4_P13,0.322044727917805,0.493217591175573,-0.171172863257769,0.476623013915867,0.36325239539962,0.113370618516246,0.263036018211362,0.555766101016991,-0.292730082805629,0.295788325167144,0.345990695906355,-0.0502023707392105,0.520491794658315,0.347982447493955,0.17250934716436,0.466376476273523,0.203746712081042,0.262629764192481,0.543472941654336,0.481907928210403,0.0615650134439329,0.555392052478291,0.3186045033572,0.236787549121091,0.459878437704885,0.515898595473764,-0.0560201577688781,0.19970092647375,0.659367500270981,-0.459666573797231,-9.43991468152056,2.70748508246634,-5.75432372539633,-0.776529674343019,-0.762412368229759,4.87046558084871,-1.75902980648367,4.21976091829607,3.46402488347132,-1.89798428457684
183,fv1_NS_p7c7r5_L14,0.219133939624808,0.568986444536112,-0.349852504911303,0.510440677296591,0.358525316519809,0.151915360776782,0.273017656603554,0.558545602910087,-0.285527946306532,0.32498553449978,0.289394050309264,0.0355914841905164,0.441491692042807,0.490468647014155,-0.0489769549713484,0.517171723510753,0.0973983480042312,0.419773375506522,0.543674033810097,0.349299254630184,0.194374779179913,0.557692004336931,0.2667337445756,0.29095825976133,0.282401953213089,0.570585467993027,-0.288183514779938,0.195102856041102,0.615959971165852,-0.42085711512475,-18.6598206434237,8.24773840542655,-5.65878072766434,2.01789681237639,-5.07695507529885,11.023668283672,9.88450487827785,2.29957376896827,-6.24654225597866,-2.90286325120208
184,fv1_NS_p7c7r6_D15,0.330764114473397,0.426631515960986,-0.0958674014875884,0.390114620435079,0.474732350209521,-0.0846177297744419,0.372876123600298,0.336236107683376,0.0366400159169213,0.23950118780879,0.48394245535038,-0.24444126754159,0.654871103450197,0.207953089832091,0.446918013618106,0.540558260197616,0.317811853190419,0.222746407007197,0.453352723137412,0.41105115947397,0.0423015636634413,0.511373462848333,0.224510094728248,0.286863368120084,0.490613600080122,0.51552688220032,-0.0249132821201975,0.112868140729794,0.714489869460584,-0.601621728730789,-3.59417987171862,-3.66749663437716,6.60953040075831,-7.56542601393081,7.76221138211341,5.57259620509788,-2.38211924102844,4.68390469762634,1.14119136512724,-0.432444388943604
185,fv1_NS_p7c7r8_H16,0.371606880266369,0.477112570554845,-0.105505690288476,0.343669991277937,0.434684628344259,-0.0910146370663219,0.373733054427951,0.373363132304258,0.000369922123693522,0.122805285755067,0.395686410223107,-0.272881124468041,0.390792880758404,0.451548370798918,-0.0607554900405147,0.62295331163422,0.193984482412635,0.428968829221585,0.453755961461466,0.429394502626831,0.0243614588346353,0.618137027973711,0.151145846109569,0.466991181864142,0.422739941606185,0.526605577557773,-0.103865635951588,0.133113937114539,0.683586288332496,-0.550472351217957,-13.2914879203995,-7.51153375772545,3.1200780769197,-11.2220846262844,-11.0660733963675,11.621214929597,1.86089475867063,11.5777706825359,1.7395551460355,-2.9076019604505
186,fv1_NS_p7c8r1_I12,0.501150161199515,0.334630876516515,0.166519284683,0.496410780609763,0.299650981885758,0.196759798724004,0.294158655320592,0.490177016100863,-0.196018360780271,0.443189626052797,0.477335110522102,-0.0341454844693055,0.640241311099416,0.267896210677737,0.372345100421679,0.441336118418146,0.347076168861484,0.0942599495566616,0.366715380080359,0.413756179042838,-0.0470407989624797,0.371266588767906,0.392911727343104,-0.0216451385751978,0.45190744415256,0.526757579806306,-0.0748501356537455,0.246933869526852,0.647226355375625,-0.400292485848774,6.58559624196961,4.42087216816328,0.699980622149671,1.41974075463702,8.49069016672475,5.3150700474463,-2.2036844628718,-1.94670035178856,-1.57611343587467,-0.739681181580746
