,cell.name,PC1.pos,PC1.neg,PC1.score,PC2.pos,PC2.neg,PC2.score,PC3.pos,PC3.neg,PC3.score,PC4.pos,PC4.neg,PC4.score,PC5.pos,PC5.neg,PC5.score,PC6.pos,PC6.neg,PC6.score,PC7.pos,PC7.neg,PC7.score,PC8.pos,PC8.neg,PC8.score,PC9.pos,PC9.neg,PC9.score,PC10.pos,PC10.neg,PC10.score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
196,fv1_NS_p5c8r7_I05,0.270191019171746,0.412977294381975,-0.142786275210229,0.339990592940848,0.304025908047041,0.0359646848938077,0.493637816666851,0.334354468205406,0.159283348461445,0.299637342126236,0.464122207644542,-0.164484865518306,0.212864036993773,0.604483709731541,-0.391619672737768,0.47015345336371,0.384941669667112,0.085211783696598,0.187282397630553,0.493248444652134,-0.305966047021581,0.510724020011468,0.382527680056888,0.128196339954579,0.514754883878705,0.173282139153734,0.34147274472497,0.571705725667844,0.31431823005153,0.257387495616314,-1.08478331359445,6.57732777326704,5.94823334490298,4.45884659381534,-9.3387018103686,-5.45518817650576,-9.14065631729974,4.76489433979833,2.61927753680472,6.34952373387375
197,fv1_NS_p5c9r2_N01,0.24979117224013,0.543483512519908,-0.293692340279778,0.246156899616983,0.380409863064497,-0.134252963447514,0.543955042856002,0.190873092379439,0.353081950476563,0.533995745760538,0.393162032576337,0.1408337131842,0.239004297404231,0.375891855327809,-0.136887557923578,0.536874752383966,0.179012713578047,0.357862038805919,0.349483845530662,0.36413797545614,-0.0146541299254779,0.4998254388967,0.199835920778738,0.299989518117962,0.503809061597422,0.228011332245461,0.275797729351962,0.524018013683581,0.448367249074697,0.075650764608884,2.37959484701451,-8.95863387294376,17.3583617466038,-0.956972874033663,-2.82006405266971,0.263119825913839,-1.40574122472963,2.49160143983912,2.26553537860773,0.123169085273794
198,fv1_NS_p5c9r5_B04,0.559461067611629,0.215889004470557,0.343572063141072,0.554389545535741,0.168286539890556,0.386103005645186,0.550477527138055,0.132093608435455,0.4183839187026,0.255088591837726,0.480131038768984,-0.225042446931258,0.299912898873619,0.42470364139297,-0.12479074251935,0.586481745371525,0.108718366738148,0.477763378633377,0.441995552231411,0.340669720407021,0.10132583182439,0.447513785721651,0.269283260776844,0.178230524944807,0.58553085526992,0.33807719751343,0.24745365775649,0.446782986698947,0.516791222079992,-0.070008235381045,7.96253429932828,3.16025561750397,11.4068516585814,-3.22662166077474,-4.46607220219558,9.30840502155196,3.83793944948312,4.9619521880094,0.664378270538643,-0.366842663359983
199,fv1_NS_p5c9r7_J05,0.157500728349761,0.343613099999766,-0.186112371650005,0.159838224585568,0.486671122585177,-0.326832897999609,0.328777507226676,0.293374947011207,0.0354025602154696,0.342029673468932,0.337368785855516,0.00466088761341676,0.15426808765751,0.284011779954116,-0.129743692296606,0.342270242087377,0.0287330607643889,0.313537181322988,0.244776862527013,0.423150794574338,-0.178373932047325,0.604723017502956,0.0377763861979239,0.566946631305032,0.427084460108389,0.254635010103938,0.172449450004451,0.383767125665615,0.453427407419698,-0.0696602817540822,20.8723053018876,-16.0852795478522,6.58759232830032,-2.14700825680686,-5.55554917376891,-1.62919420127967,-9.76807242008146,12.6830113220397,-0.55245219693061,-1.65913210126661
200,fv1_NS_p6c10r1_B07,0.0648981685177593,0.490862554432931,-0.425964385915171,0.0838447270910035,0.701167546540308,-0.617322819449304,0.103056834665401,0.634821250360408,-0.531764415695007,0.55464098227544,0.190845287025437,0.363795695250003,0.282169020762021,0.11961915853885,0.162549862223172,0.215832450943483,0.0677739732079453,0.148058477735537,0.53649677117756,0.203501171879676,0.332995599297884,0.70645836934173,0.123729893257283,0.582728476084447,0.298380010374865,0.340228589675709,-0.0418485793008438,0.444410044100616,0.397509293663056,0.0469007504375594,16.9790777282631,-22.6810921835083,-17.3560643657756,16.995208006595,-1.51857024027496,-5.43232409886198,16.0079926030576,19.0124447015523,-12.7764106908679,-0.290348867456349
201,fv1_NS_p6c10r3_I08,0.399533093639903,0.388155030954507,0.0113780626853962,0.457201868200866,0.280330479891273,0.176871388309593,0.539849173870298,0.151454468395317,0.388394705474981,0.220834359923779,0.59334664418784,-0.372512284264061,0.553384208668699,0.202366499764855,0.351017708903844,0.468905370126949,0.491739323406055,-0.0228339532791056,0.303136727374176,0.457636854066974,-0.154500126692798,0.380161366801933,0.459055700539776,-0.078894333737843,0.444834155676063,0.316893292128645,0.127940863547417,0.475781423118821,0.533839292625699,-0.0580578695068776,-0.594939994281366,7.54144861355117,7.3704293321838,-2.70058894822352,14.4835412338749,-1.30282640937501,-5.81421197232921,-0.534783607884216,-1.79705010260596,0.531971638952338
202,fv1_NS_p6c10r4_E09,0.28133856477988,0.586568839175514,-0.305230274395634,0.4000550786353,0.515779432338707,-0.115724353703407,0.493814888201101,0.433018287626659,0.0607966005744425,0.298897646429124,0.62271308589309,-0.323815439463966,0.447370846316492,0.512160338605871,-0.0647894922893794,0.434911770211292,0.536733399821844,-0.101821629610551,0.420396369706228,0.502383351934644,-0.0819869822284163,0.424741750509062,0.590094460538178,-0.165352710029116,0.564486127984068,0.358038573666251,0.206447554317817,0.563797468631128,0.588048609162092,-0.0242511405309638,-13.7106192309071,10.0853660263893,-5.65480712082847,0.192899444766083,-1.40270357761618,-0.844234512964108,-3.06611508967943,-3.6637160805129,0.81752329553338,1.6536719531866
203,fv1_NS_p6c10r5_P09,0.183089455460424,0.575315276916465,-0.39222582145604,0.232018659092857,0.536864673862449,-0.304846014769592,0.478221462978764,0.385899298108049,0.0923221648707153,0.439236559325778,0.564326195932063,-0.125089636606285,0.30816231921113,0.429853344101427,-0.121691024890297,0.489636175793487,0.357862105467696,0.131774070325791,0.32644794322831,0.513250915171891,-0.18680297194358,0.472889529983292,0.380879303045315,0.0920102269379764,0.509080023307706,0.264364154168157,0.244715869139549,0.557783488586331,0.679054011168219,-0.121270522581887,-11.6269062825622,2.11729295214679,-1.61860529942695,0.69094585630739,-5.08409668540458,3.01133734048383,-1.7919275870144,-1.28297691395766,0.698432917154144,-2.60967883677907
204,fv1_NS_p6c10r6_L10,0.0876801692201775,0.670914411638683,-0.583234242418505,0.200395175520028,0.610722014805171,-0.410326839285143,0.450648133969099,0.459503974684239,-0.00885584071513962,0.510712858318315,0.503696651924099,0.00701620639421541,0.326773533487542,0.625922954768634,-0.299149421281093,0.452472275827969,0.358678716647214,0.0937935591807552,0.37583840480037,0.413226728834826,-0.0373883240344554,0.598109701226633,0.361335333325636,0.236774367900997,0.520537426869792,0.35063869114659,0.169898735723203,0.557472414471735,0.579803387046262,-0.0223309725745277,-19.9120136373212,3.6396739075875,-4.75319116725304,6.69666845238857,-4.21767857415896,0.269757929407335,0.728261307581912,1.7368898517548,-1.89080741628147,1.05333526062051
205,fv1_NS_p6c10r8_D12,0.529243083971759,0.450597092784822,0.0786459911869367,0.536243382827179,0.231453835629117,0.304789547198062,0.519804382456239,0.205949029817949,0.31385535263829,0.325039180175019,0.586115392562223,-0.261076212387204,0.280493738356322,0.412756374194801,-0.132262635838479,0.434615954285802,0.448915284875712,-0.0142993305899103,0.299490192861535,0.426442178823333,-0.126951985961798,0.392214061183427,0.499996353555668,-0.107782292372241,0.385219281115163,0.350103883621346,0.0351153974938168,0.385615514963929,0.542776421764993,-0.157160906801063,2.60830403532369,13.0665214846534,3.15507375434951,0.410836704289562,-1.29937364736173,-0.0741534377117201,-2.28885814929635,1.20110439545618,-4.44902173531646,-0.253713303998608
