"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","gene"
"1",-0.0295184496354114,-0.0434190362140303,0.0164259614858346,-0.00620655986599234,-0.041905717948253,0.00769816115009422,0.0183216191797894,-0.00976629969593529,-0.0199410889859248,-0.0219732180975705,"Vwf"
"2",-0.0280928703342683,-0.0395912145623366,-0.00202927432526925,-0.0392756568438042,0.043760678754393,0.0071576405111465,0.0027051953671466,-0.00190947857135691,-0.0100873061000956,0.00983501731755579,"Clca1"
"3",-0.0268092377870768,-0.0750737837766934,-0.0601974613382422,-0.0317863227368905,0.0034987334704942,0.0267235756263481,-0.00424703753854961,-0.0119325939387025,0.0142957359480168,-0.00237854438191547,"Cxcr7"
"4",-0.0207901755493719,-0.052309612187827,-0.0541611144495015,-0.0287072846719665,-0.00509204588430637,0.0189028916313327,-0.0236685530822116,0.00662343253050931,0.0182983185221233,-0.0230816981883061,"Jam2"
"5",-0.0207667289315848,-0.038310064329417,-0.00681880404632719,-0.0134948472339942,-0.0263159060493419,0.00190179856672688,0.00041379558621869,-0.0163375615391103,0.00612886929593368,0.00527825212951006,"Fn1"
"6",-0.0200367525279549,-0.0225314891748099,0.0454670685396534,-0.0372566067571051,0.00137822304091029,0.0205450866397746,-0.0221677408915743,-0.0339016500373976,-0.053486025197877,0.0162012918724357,"Edn1"
"7",-0.0199972633913981,-0.037138044303698,-0.0213211300443634,-0.0139472278893264,0.0159585916051634,-0.00248789365341903,0.027426356540407,-0.0126423577658356,-0.0278376986158358,0.00389324109684848,"Cfh"
"8",-0.0196872867231749,-0.035962156654522,0.00370295055217874,-0.00408346970211882,0.00305957006030337,0.0266799909047022,0.00762504411229653,0.014498867752519,-0.0153573744635448,0.000117824319455632,"Ypel3"
"9",-0.0186876341063994,-0.0253326184216091,0.0198914645332547,-0.00175527049280839,0.011250813538087,0.00941908398808474,-0.015596750922518,-0.00873210159083495,0.00279101483670194,-0.0154669792822509,"B130024G19Rik"
"10",-0.0183826668330241,-0.0357040514261005,-0.000436772274335636,-0.0102097239728764,-0.0142539240521854,-0.000152344815061868,-0.00657919150709299,-0.0418860108208969,-0.00373791421998869,0.032574523854993,"Epha7"
"11",-0.0180318802954712,-0.060097736348087,-0.0403248542035748,-0.00470737342229723,0.00386828805846933,-0.0141030983429142,0.0198185228521014,-0.0295844078925747,0.0126713582804446,-0.0193987058582557,"Mfap2"
"12",-0.0177796612263553,-0.0487163908745196,-0.00397263390071587,-0.0150612071140327,-0.0206093708213204,-0.00487073274838336,0.0142965235331565,-0.011762662519196,-0.0174470582881978,-0.0186854111986753,"Cpe"
"13",-0.0177378896057401,-0.0357519082196667,-0.0359911686311455,-0.00704321378568781,-0.0155087662990259,-0.00841549543327202,-0.0198162453160463,0.00447304107004567,0.0240974662157582,-0.0105871292963712,"Cldn11"
"14",-0.0176163915418498,-0.0371837490319,0.00118792081966016,-0.00598671329294372,0.00281423308124857,0.00544224391587985,0.00834880694051423,-6.02291684893629e-05,0.0285968710148159,-0.0270570789353054,"Lbp"
"15",-0.0171132516502613,-0.0350904710778769,-0.0196998639098468,-0.00432888576064943,-0.00183364422921173,0.0195412795555904,0.0202008321113311,-0.0110452070335202,0.00326266425590288,0.00822429362929258,"Ccdc80"
"16",-0.0169884501680935,-0.0374004715273391,0.00863902675422009,0.00711941177774054,0.0122172315550678,0.012839414518967,0.00484342225101253,-0.0110520686562178,-0.00898890332389357,0.0133734751431735,"Pdcd4"
