"","sort.plate","cell.name","num.genes","num.mouse.reads","num.rRNA.reads","__alignment_not_unique","__ambiguous","__no_feature","__not_aligned","__too_low_aQual","ercc.sum","sort.plate_color","frac.rRNA","htseq.sum","frac.mRNA","dissection","dissection_color","subtype","subtype_color"
"11","p1","fv1_NS_p1c12r2_H02",5316,478695,44257,106629,2720,471486,346461,12,6500,"#9E0142",0.0924534411263957,639945678,0.000678352681476646,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"12","p1","fv1_NS_p1c12r3_D03",4085,439936,36359,88783,2252,367173,246719,9,12953,"#9E0142",0.082646112161769,639945678,0.000630196600674204,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"13","p1","fv1_NS_p1c12r4_P03",6252,805381,70662,130684,7113,432102,259408,21,7790,"#9E0142",0.0877373566051347,639945678,0.00114663886600497,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"14","p1","fv1_NS_p1c12r6_H05",4801,467817,50292,92320,3193,322818,200983,13,6970,"#9E0142",0.107503575115911,639945678,0.000651954493677831,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"15","p1","fv1_NS_p1c1r1_A01",5166,642366,59656,124929,4270,490651,268591,19,8142,"#9E0142",0.0928691742713655,639945678,0.000909637011170084,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"16","p1","fv1_NS_p1c2r1_B01",4152,285295,36552,40443,1920,121760,149627,8,5805,"#9E0142",0.128120016123661,639945678,0.000388517199491512,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"17","p1","fv1_NS_p1c2r2_N01",5128,723812,78038,120248,5465,362048,310436,12,14340,"#9E0142",0.107815289052959,639945678,0.0010079449016217,"SV","#00BFC4","SVv","#E7298A"
"18","p1","fv1_NS_p1c2r5_B04",4396,587256,51282,108767,4378,362315,282230,19,11101,"#9E0142",0.0873247782908987,639945678,0.000836748093360984,"SV","#00BFC4","SVv","#E7298A"
"19","p1","fv1_NS_p1c2r6_N04",4483,516073,91886,121441,3176,490097,285030,12,11572,"#9E0142",0.178048454385329,639945678,0.00066230237039866,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"20","p1","fv1_NS_p1c2r7_J05",4460,631839,54457,107353,4503,480446,296895,18,12845,"#9E0142",0.0861880953850585,639945678,0.000901327953479303,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"21","p1","fv1_NS_p1c2r8_F06",6368,906366,93812,140153,6362,581495,311000,21,7614,"#9E0142",0.103503441214697,639945678,0.00126791254505831,"SV","#00BFC4","Mesenchymal.1","#D95F02"
"22","p1","fv1_NS_p1c3r2_O01",5177,740186,53697,153691,6418,511867,290483,19,15486,"#9E0142",0.0725452791595626,639945678,0.00107146488765786,"SV","#00BFC4","SVv","#E7298A"
"23","p1","fv1_NS_p1c3r5_C04",3607,266135,20496,73700,2001,480918,281089,20,9587,"#9E0142",0.0770135457568527,639945678,0.000383678208819682,"SV","#00BFC4","SVv","#E7298A"
"24","p1","fv1_NS_p1c4r2_P01",6866,672469,47482,121360,7530,346939,256916,13,6852,"#9E0142",0.0706084592747026,639945678,0.000975589464937476,"SV","#00BFC4","SVv","#E7298A"
"25","p1","fv1_NS_p1c4r4_H03",3592,332524,31757,56737,2041,257592,203493,10,9670,"#9E0142",0.095502880995056,639945678,0.000469737149730087,"SV","#00BFC4","SVv","#E7298A"
"26","p1","fv1_NS_p1c4r5_D04",4331,507852,51190,98846,6483,422681,220840,9,12219,"#9E0142",0.10079708261462,639945678,0.00071301549023195,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"27","p1","fv1_NS_p1c4r6_P04",4101,344351,39013,64174,2061,274523,209229,14,8452,"#9E0142",0.113294284029958,639945678,0.000476868224836502,"SV","#00BFC4","SVv","#E7298A"
"28","p1","fv1_NS_p1c4r7_L05",4343,487231,50133,93393,3330,431684,275239,19,11337,"#9E0142",0.102893699292533,639945678,0.000682491883922665,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"29","p1","fv1_NS_p1c4r8_H06",4274,430941,48839,78011,2505,326865,219928,6,9775,"#9E0142",0.113331059240128,639945678,0.000596674138582665,"SV","#00BFC4","SVv","#E7298A"
"30","p1","fv1_NS_p1c5r1_E01",5061,520745,53717,92586,2740,509537,352552,17,9143,"#9E0142",0.103154134941286,639945678,0.000729189409858,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"31","p1","fv1_NS_p1c5r4_I03",4225,431856,26646,75130,3982,448056,272690,11,9107,"#9E0142",0.061701122596421,639945678,0.00063275835886778,"SV","#00BFC4","SVv","#E7298A"
"32","p1","fv1_NS_p1c5r5_E04",4873,431343,47177,94737,3403,358872,179675,15,9073,"#9E0142",0.109372355642725,639945678,0.000599897473726241,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"33","p1","fv1_NS_p1c5r7_M05",4598,350481,57235,75272,2335,252989,173795,5,5084,"#9E0142",0.163304144875186,639945678,0.000457981306776878,"SV","#00BFC4","SVv","#E7298A"
"34","p1","fv1_NS_p1c5r8_I06",4072,431114,49386,67395,4455,321370,189010,11,15376,"#9E0142",0.114554387006685,639945678,0.000596084741623537,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"35","p1","fv1_NS_p1c6r1_F01",5271,609480,41691,102425,4580,465403,294892,22,9997,"#9E0142",0.0684042134278401,639945678,0.000886387583789228,"SV","#00BFC4","SVv","#E7298A"
"36","p1","fv1_NS_p1c6r2_B02",4716,483069,36879,86031,3002,436561,271273,25,10528,"#9E0142",0.0763431311054942,639945678,0.000696693687313288,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"37","p1","fv1_NS_p1c6r3_N02",5442,616109,55595,114902,4442,536943,250230,22,12417,"#9E0142",0.0902356563530155,639945678,0.000875018064261601,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"38","p1","fv1_NS_p1c6r4_J03",5064,706938,66007,114860,4021,398273,227289,17,13439,"#9E0142",0.0933702814108168,639945678,0.00100041354618041,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"39","p1","fv1_NS_p1c6r6_B05",5142,711887,60293,126765,4583,444915,278882,22,13378,"#9E0142",0.0846946214778469,639945678,0.00101704940284764,"SV","#00BFC4","SVv","#E7298A"
"40","p1","fv1_NS_p1c6r8_J06",6914,624934,58885,106532,4466,307861,165280,19,6357,"#9E0142",0.0942259502603475,639945678,0.000883654935149525,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"41","p1","fv1_NS_p1c7r1_G01",4509,359042,24788,60644,2576,346187,277531,10,6365,"#9E0142",0.0690392767419968,639945678,0.000522018137480762,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"42","p1","fv1_NS_p1c7r3_O02",4900,276088,18810,51500,1644,234780,178801,16,4655,"#9E0142",0.0681304511604996,639945678,0.000401854705711968,"SV","#00BFC4","Mesenchymal.2","#7570B3"
"43","p1","fv1_NS_p1c7r4_K03",3586,336838,16944,81633,3289,675317,204086,17,17432,"#9E0142",0.0503031130691905,639945678,0.000499600227985675,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"44","p1","fv1_NS_p1c7r5_G04",5805,372607,31120,74116,4323,251914,146237,9,4612,"#9E0142",0.0835196332865459,639945678,0.000533304371278742,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"45","p1","fv1_NS_p1c7r7_O05",4597,485953,45564,79998,2985,315904,225593,8,10104,"#9E0142",0.0937621539531601,639945678,0.000687633200543991,"SV","#00BFC4","SVv","#E7298A"
"46","p1","fv1_NS_p1c7r8_K06",6535,922593,78628,170880,7201,607990,330067,23,11274,"#9E0142",0.0852250125461607,639945678,0.00131688553111797,"SV","#00BFC4","SVv","#E7298A"
"47","p1","fv1_NS_p1c8r4_L03",3859,439333,33762,84554,3102,394177,230819,14,15503,"#9E0142",0.0768483132384774,639945678,0.000633308361148499,"SV","#00BFC4","Venous.Valve.2","#E6AB02"
"48","p1","fv1_NS_p1c9r3_A03",4409,445274,42559,83887,2773,308486,203139,16,11741,"#9E0142",0.0955793511410951,639945678,0.000628846512361614,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"49","p1","fv1_NS_p1c9r4_M03",5199,520503,55968,117640,4449,548594,284032,21,11746,"#9E0142",0.107526757770849,639945678,0.000725294316036629,"SV","#00BFC4","Venous.Valve.1","#66A61E"
"50","p1","fv1_NS_p1c9r5_I04",6436,753497,76237,130892,4244,564157,269892,26,6175,"#9E0142",0.1011775760222,639945678,0.00105705376113996,"SV","#00BFC4","Mesenchymal.1","#D95F02"
"51","p1","fv1_NS_p1c9r6_E05",5812,454506,35800,97073,3562,392647,260594,10,6366,"#9E0142",0.0787668369614482,639945678,0.000653812800634257,"SV","#00BFC4","Mesenchymal.1","#D95F02"
"52","p1","fv1_NS_p1c9r7_A06",4098,264680,26860,36452,1784,154066,132754,6,7259,"#9E0142",0.101481033701073,639945678,0.000371467441202866,"SV","#00BFC4","Venous.Valve.1","#66A61E"
