,cell.name,PC1.pos,PC1.neg,PC1.score,PC2.pos,PC2.neg,PC2.score,PC3.pos,PC3.neg,PC3.score,PC4.pos,PC4.neg,PC4.score,PC5.pos,PC5.neg,PC5.score,PC6.pos,PC6.neg,PC6.score,PC7.pos,PC7.neg,PC7.score,PC8.pos,PC8.neg,PC8.score,PC9.pos,PC9.neg,PC9.score,PC10.pos,PC10.neg,PC10.score,PC11.pos,PC11.neg,PC11.score,PC12.pos,PC12.neg,PC12.score,PC13.pos,PC13.neg,PC13.score,PC14.pos,PC14.neg,PC14.score,PC15.pos,PC15.neg,PC15.score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
1,fv1_NS_p10c10r3_K10,0.390715011818466,0.306871369140349,0.0838436426781177,0.248955809174591,0.27993701725267,-0.0309812080780791,0.214577118281895,0.320391867020777,-0.105814748738882,0.453601304334916,0.397143506532132,0.0564577978027838,0.246782563143649,0.317432302784172,-0.0706497396405234,0.159886673273371,0.244467426921633,-0.0845807536482621,0.404343555970278,0.291926671496,0.112416884474278,0.323394294053124,0.335584463988503,-0.0121901699353789,0.348349084217677,0.431188570982984,-0.0828394867653072,0.477239524850799,0.384083090134949,0.0931564347158493,0.203349184366255,0.343604450965865,-0.14025526659961,0.464393823705285,0.221275954922283,0.243117868783002,0.476410950588007,0.507095624898745,-0.0306846743107383,0.231228679909155,0.728393834504197,-0.497165154595043,0.589573991620651,0.149583190384224,0.439990801236427,1.59425363895549,-2.43554299920114,0.835999387805917,2.31206772766708,-1.83508692006835,-2.58817112841577,0.731205426016456,3.18808864750733,-4.29127438743214,7.05122535021559,-6.66301054209427,4.90170921931476,6.79618945784893,-12.974364995854,19.5842466777738
2,fv1_NS_p10c10r6_N12,0.281007435694907,0.589192968800936,-0.308185533106029,0.153427988421209,0.568909931380716,-0.415481942959506,0.357439577526354,0.273845833218234,0.0835937443081196,0.286291929208922,0.66724960290005,-0.380957673691128,0.217188902319418,0.343005976769785,-0.125817074450367,0.11488834418621,0.435321558670837,-0.320433214484627,0.210689120953609,0.501886658302145,-0.291197537348535,0.270252456698407,0.371216126790458,-0.100963670092051,0.383210788343036,0.399746438089915,-0.0165356497468784,0.243199302229026,0.39827796563742,-0.155078663408394,0.402371505999726,0.331074684796927,0.0712968212027984,0.261546447215803,0.50549257732789,-0.243946130112087,0.295300792426627,0.519211014567579,-0.223910222140952,0.394126109617455,0.599253837523818,-0.205127727906364,0.232481026455411,0.4811517558627,-0.248670729407289,0.805449832541708,-12.5927830997672,8.70924223172642,-10.4243672913113,-1.17994358103667,-6.13657809017782,-6.6514104355264,-6.37594081440941,-4.9518575724597,1.54915990087149,2.4600511027698,-4.2132242311575,0.58139153860693,0.300183154767236,0.111463092631024
3,fv1_NS_p10c10r8_C14,0.110752747638203,0.509142898618395,-0.398390150980192,0.150198668327489,0.492387604771077,-0.342188936443588,0.261860208306063,0.290907969713261,-0.0290477614071981,0.152942224632641,0.423836416648707,-0.270894192016067,0.142467119470372,0.44907621599435,-0.306609096523979,0.0894718026847547,0.305265251205843,-0.215793448521088,0.38437279912639,0.255657941777037,0.128714857349352,0.283421521993982,0.370079928130084,-0.0866584061361019,0.398591783764854,0.209886878243276,0.188704905521579,0.177422404882931,0.427642241888306,-0.250219837005375,0.337243148806357,0.32145625849969,0.0157868903066676,0.220628101201521,0.266618871203819,-0.0459907700022981,0.257129743007151,0.442435088525422,-0.185305345518272,0.285234733005344,0.634696022666889,-0.349461289661546,0.199065208936142,0.464544406904406,-0.265479197968264,-19.7908796781177,-2.38239614182762,9.87988888143605,-6.35389317627324,-6.80865936862585,-4.9301458907912,6.05344540764204,-1.91297051293319,-1.23688223813532,-8.71715677209773,0.490131059652796,-2.57577618799316,-2.36260916107011,3.63375125995085,-0.152940332501153
4,fv1_NS_p10c11r2_P09,0.370411157403617,0.517023236486251,-0.146612079082634,0.0841960656499494,0.499801028391426,-0.415604962741477,0.336235803458835,0.392644175588717,-0.0564083721298826,0.254773570727914,0.505127647000986,-0.250354076273072,0.310375495953943,0.333306217580046,-0.0229307216261022,0.199989929183404,0.477085813325047,-0.277095884141644,0.330603764471425,0.550037498472755,-0.219433734001329,0.306028566695968,0.387236503676548,-0.0812079369805798,0.396027213750547,0.220633200493971,0.175394013256576,0.313394855128517,0.398924195082564,-0.0855293399540475,0.395276271173657,0.343245369762369,0.0520309014112882,0.315270819733888,0.334272921143402,-0.0190021014095144,0.302616616338155,0.553960250965426,-0.251343634627271,0.400538384752135,0.591412097357141,-0.190873712605006,0.218789569178724,0.466520032590445,-0.247730463411721,3.3248068636277,-12.3980304903485,3.17509570005874,-5.26570736481764,3.66797355338501,-5.4457687466689,-6.06834953784401,-3.82965898367834,-0.264677670641164,-2.85874725184994,4.65454120760989,-1.1564678763313,1.05906203461544,-0.0628466040863654,-1.68223958965759
5,fv1_NS_p10c11r3_L10,0.155274122938107,0.318582570792624,-0.163308447854517,0.369554203282292,0.111893693220315,0.257660510061977,0.0679084139138779,0.24527344392136,-0.177365030007482,0.261262784040458,0.525660598809601,-0.264397814769143,0.270470941380585,0.29549368585981,-0.0250227444792245,0.112868494234875,0.421247078888978,-0.308378584654103,0.440487279041047,0.330554869102798,0.109932409938249,0.179524675467107,0.441860869255118,-0.262336193788011,0.253009335711688,0.400443688020741,-0.147434352309053,0.329958424220271,0.305619357677251,0.0243390665430209,0.292021165400184,0.216223289161861,0.0757978762383224,0.347043660748712,0.283772314213657,0.063271346535055,0.296288639707236,0.341577822034553,-0.0452891823273174,0.583099729992576,0.431023781833546,0.15207594815903,0.108122361668211,0.331667202676659,-0.223544841008448,-13.4190722332454,7.49889714401695,-1.35552961214313,-4.84977826408813,2.13919624205099,-6.97182861230017,-1.4136416723924,-14.3972064332528,-0.327336130869594,3.20450693536251,0.0898004392909304,1.7061003619143,0.449426194643136,16.6751006552466,5.0182506912659
6,fv1_NS_p10c12r3_M10,0.20175342534553,0.200070404900067,0.00168302044546248,0.114484565684245,0.212059090439367,-0.0975745247551221,0.244090575643588,0.106967530563929,0.137123045079659,0.171580351481435,0.251172223676755,-0.0795918721953199,0.178584575879317,0.288088875037324,-0.109504299158007,0.0723470600817269,0.25517742993803,-0.182830369856303,0.337667288577045,0.112235266520982,0.225432022056063,0.186310325430502,0.19895926763231,-0.012648942201808,0.23333161394922,0.322612758599577,-0.0892811446503574,0.332923840170024,0.34502936484483,-0.0121055246748055,0.25231677398814,0.356537409551551,-0.104220635563411,0.175348142216974,0.325810047617012,-0.150461905400038,0.36790966419762,0.402223858661071,-0.0343141944634508,0.277769234981125,0.418654972961271,-0.140885737980146,0.257348201838002,0.229418168176984,0.0279300336610184,-12.3349394840488,-1.89357296637238,13.5757375482169,2.67780261384241,-2.22666520195101,-4.11695902391062,6.68999878570254,3.05501773803824,-5.45824847905196,2.588082126377,-2.07613398019821,-7.08963863697488,6.63339663617239,5.71605711099832,2.83495542992645
7,fv1_NS_p10c12r5_D12,0.148185197146603,0.251907805341461,-0.103722608194858,0.109742536501895,0.191930423565241,-0.0821878870633452,0.21553770923722,0.223769426059211,-0.00823171682199106,0.252194367382517,0.164586708199064,0.0876076591834535,0.219527020638709,0.159504758366275,0.0600222622724345,0.081694327590087,0.227743579614659,-0.146049252024572,0.241705625880262,0.174856076826614,0.0668495490536481,0.133733861360679,0.247628503910421,-0.113894642549742,0.287985750729597,0.224825874942225,0.0631598757873719,0.154848926838094,0.109613877133305,0.0452350497047888,0.184841334765071,0.156409159638629,0.0284321751264419,0.222849023068485,0.232814302265129,-0.00996527919664408,0.259370526281727,0.286805871042331,-0.0274353447606043,0.377489312479085,0.343690209945347,0.0337991025337384,0.59175478810294,0.0706573840644044,0.521097404038536,-32.309939679357,8.59848778184926,10.5053164125571,8.15143533048879,0.797769932582582,-1.43982320783879,-2.7432295846297,-0.843130405787902,1.75931332678439,0.764208576157793,-2.1250397841485,-2.00868904178508,0.595387416289332,16.011553857503,22.602175062766
8,fv1_NS_p10c12r7_J13,0.685299607997438,0.362371552791339,0.322928055206099,0.135791602591328,0.350632804101718,-0.21484120151039,0.532503234117934,0.267140834344109,0.265362399773824,0.370074433891888,0.415629649417682,-0.0455552155257936,0.208234876354648,0.407080169610312,-0.198845293255665,0.630479887905458,0.20886188282477,0.421618005080687,0.386549269519064,0.299320082927305,0.0872291865917594,0.16757171713855,0.372466262655855,-0.204894545517305,0.427768965252797,0.410006726588511,0.017762238664286,0.360684335920745,0.421631024282578,-0.0609466883618333,0.28141288994339,0.371055012407166,-0.089642122463776,0.293724686169219,0.259662889280535,0.0340617968886841,0.41685826524726,0.307498657511427,0.109359607735834,0.295758560347268,0.678392685132517,-0.382634124785248,0.657011849153305,0.159685148141906,0.497326701011399,7.68821523319477,-5.12762568239413,16.2983789418838,-0.841556377352267,-13.7912661626445,17.1595651039843,0.114185626383457,-6.79641791553978,2.7365807505165,-2.31930572181759,-5.25770463860523,-0.801016229512078,6.1306350988212,-6.44661444060179,17.5083184204761
9,fv1_NS_p10c1r1_J08,0.20754998784357,0.335491144018385,-0.127941156174815,0.25028459357953,0.294811521864528,-0.0445269282849979,0.238298186860519,0.561128579677428,-0.322830392816908,0.513995316495952,0.345860490107745,0.168134826388206,0.224757310015388,0.366237818006482,-0.141480507991094,0.143386297089803,0.169278027433623,-0.0258917303438204,0.425135308050077,0.290923054721993,0.134212253328085,0.25034779432513,0.311412178696784,-0.0610643843716533,0.325875421151066,0.361774468659836,-0.0358990475087702,0.348539630847027,0.433454185147335,-0.0849145543003076,0.20998297706367,0.372776261635866,-0.162793284572196,0.339342926048333,0.412018243866769,-0.0726753178184363,0.285111121172428,0.550587849878902,-0.265476728706475,0.199618040119572,0.62635723032156,-0.426739190201988,0.5936237984599,0.202912772447982,0.390711026011918,-14.7508065819636,-1.84415269637395,-4.61030747258066,6.45265973465839,0.930123040068014,2.54087721009577,6.38288854050974,-0.315637956439057,-2.12146099004595,3.72417608441012,-7.30680221456136,-4.22567925327347,-3.28372901096952,-2.71887112961356,21.5165626780476
10,fv1_NS_p10c1r3_B10,0.34383804486674,0.344918270673023,-0.0010802258062827,0.256397331325697,0.371502827946079,-0.115105496620382,0.171210066365992,0.57554719028041,-0.404337123914418,0.620084431099237,0.262462209678776,0.357622221420461,0.183964745383665,0.414156188496963,-0.230191443113298,0.141728647761278,0.440123549449657,-0.298394901688379,0.452343642339203,0.229413023544395,0.222930618794808,0.354047353055112,0.163634640774027,0.190412712281085,0.545597587824172,0.286247938734648,0.259349649089524,0.305499424335434,0.576661672831649,-0.271162248496216,0.416384452797328,0.327447416416522,0.0889370363808065,0.512853257741362,0.407975594627211,0.104877663114151,0.249034232286315,0.590461521989735,-0.341427289703419,0.442447621049293,0.611736647152403,-0.16928902610311,0.1524385113556,0.443309954896245,-0.290871443540645,2.98927719754733,-5.18934007459588,-4.89145979644758,10.9808467352431,-5.12438398374908,-4.99896287087507,9.33753564414972,11.1121749752069,3.58097395050106,-5.53875171865271,4.63763525615261,2.53248344252663,-4.25505697694013,0.921755722793757,-3.24900847559018
